Symbol,CMP,Score,ROCE,Volume
IEX.NS,134.1,174653513.19271198,53.61,92979132
JAYNECOIND.NS,43.65,85370192.49203822,12.57,127953415
SUZLON.NS,60.4,58461844.80802362,32.41,73289255
RELINFRA.NS,323.25,49418203.50793651,34.01,5492526
NMDC.NS,70.93,46078346.0588794,29.59,16397600
NATIONALUM.NS,187.6,42307389.30331126,43.96,7266169
COALINDIA.NS,380.2,34864040.199475065,48.04,5530058
VIMTALABS.NS,670.0,19315966.878696155,25.22,32895352
TATAMOTORS.NS,686.8,16954886.893574294,19.97,8456218
KELLTONTEC.NS,27.7,16125352.807799442,17.38,16654205
BEL.NS,385.2,16056403.928927204,38.99,21496391
MARKSANS.NS,227.6,15439373.929968007,20.03,21682955
SAVY.NS,142.35,14901036.241610738,61.88,3229200
GAIL.NS,183.9,12992433.97913562,14.0,12454176
PARADEEP.NS,216.55,12781169.016093954,13.92,21109129
ITC.NS,410.75,11389786.711538462,36.79,8371292
INFY.NS,1501.2,10554928.870292887,37.5,6727008
ONGC.NS,242.2,10350969.376595745,12.42,7834067
TCS.NS,3065.1,9893129.3500638,64.63,3598754
WIPRO.NS,248.45,9172397.47789784,19.51,9572015
INDUSTOWER.NS,383.8,8835470.997375328,29.22,3456175
BPCL.NS,335.25,8412444.444444444,16.25,6056960
GARUDA.NS,180.65,8318942.306962025,30.09,6989128
MOTHERSON.NS,101.85,8177666.125768968,13.94,17164886
HINDALCO.NS,689.3,7813440.313649564,15.21,5306564
BELRISE.NS,127.2,6992103.991471216,14.31,16041284
HINDZINC.NS,435.0,6444878.987388334,60.81,2016873
RAJOOENG.NS,109.0,6206083.776928589,32.83,7914978
ASHOKA.NS,196.15,5962694.287058823,39.94,634488
HCLTECH.NS,1474.35,5816061.961773078,31.88,4486103
IGL.NS,207.3,5758410.624303232,21.43,4820620
POWERGRID.NS,292.3,5587547.589951377,12.89,8023701
SHARDACROP.NS,1125.85,5586163.392857143,16.5,8531595
PETRONET.NS,299.6,5260488.2090007635,25.57,2697106
EIEL.NS,258.25,5241262.096593036,31.7,4416218
NBCC.NS,108.2,4542690.32392638,33.48,6634933
MSUMI.NS,39.92,4515049.306891203,42.54,4789943
DAMCAPITAL.NS,218.9,4476185.231155778,64.08,1112061
LICI.NS,893.3,4325597.152755906,53.48,1027208
ENGINERSIN.NS,216.0,4260959.079379562,25.42,3674281
JAGSNPHARM.NS,284.15,4183496.922567836,22.95,8263090
HINDCOPPER.NS,247.0,4016299.3008270813,23.99,8703935
MCLOUD.NS,87.93,3991893.319493871,22.9,8817029
CDSL.NS,1540.9,3969478.8067735108,41.96,6256943
TI.NS,504.9,3935836.5528548495,28.43,6037349
ADANIPOWER.NS,569.95,3768778.258913878,22.54,3048129
CIPLA.NS,1568.35,3704952.4368378157,22.72,4001740
GMDCLTD.NS,402.75,3638685.3445212236,14.17,5202524
CASTROLIND.NS,219.8,3614820.96213067,55.16,1574767
VBL.NS,486.65,3591261.4870259487,24.85,8688396
ARVINDFASN.NS,526.1,3523966.1,16.34,215665
MAMATA.NS,485.5,3432853.136918509,34.87,2983934
NCC.NS,216.2,3376733.890660593,22.12,2680626
SPIC.NS,98.02,3331275.7581462706,16.74,2748203
KALAMANDIR.NS,182.9,3291601.25923047,11.95,7087272
CHAMBLFERT.NS,529.85,3235036.9126353795,27.87,1607652
BRNL.NS,20.56,3224798.8640350876,15.23,482767
RADHIKAJWE.NS,101.61,3140124.5937947496,25.78,2551808
APOLLO.NS,176.0,3123279.065818998,14.46,17327071
KNRCON.NS,212.0,3019489.2385466034,29.18,655016
MASTERTR.NS,164.85,2863332.5165562914,30.09,1436900
VMM.NS,134.35,2791762.3198801195,13.11,21316202
NATCOPHARM.NS,941.55,2785214.9698189134,32.8,844056
CRIZAC.NS,312.7,2765411.879100027,47.87,2131106
STAR.NS,934.3,2721051.4169096206,14.68,635777
LODHA.NS,1238.1,2695212.5223705787,15.62,7366109
FILATEX.NS,58.08,2633193.1825355073,13.85,3614224
PTC.NS,190.5,2609280.265957447,11.51,2130950
JAIBALAJI.NS,110.6,2566328.8418848165,36.08,1358561
PATELENG.NS,38.3,2437413.4316197867,15.28,1644616
PGINVIT.NS,92.9,2427399.2630937877,16.05,1241679
COLPAL.NS,2206.4,2264114.4261402315,105.34,947214
BSE.NS,2468.0,2207213.086908991,46.57,3468410
SAMBHV.NS,129.91,2146211.2114695343,13.92,10324016
REDINGTON.NS,294.5,2122240.2711864407,18.9,2318744
THOMASCOOK.NS,174.2,2072426.517906336,18.62,3636207
OSWALPUMPS.NS,711.0,2038344.0357979257,77.89,782207
ASIANENE.NS,310.0,2009221.98556701,16.59,4111699
JINDALSAW.NS,214.9,1958551.0019379845,19.37,1043482
MARICO.NS,697.45,1952467.7663567793,45.16,2464796
ELECTCAST.NS,110.5,1947158.0997177798,13.24,1563315
MOREPENLAB.NS,57.57,1921773.8824377928,15.08,3533872
MANINFRA.NS,178.85,1862776.4037141702,23.52,1961776
IIFLCAPS.NS,306.2,1826022.48824343,34.58,763571
DRREDDY.NS,1286.45,1815465.7387387387,22.69,1598634
SAFEENTP.NS,224.4,1797984.1040462428,96.45,516000
SWANENERGY.NS,465.7,1707841.6362740265,14.29,2424920
ZUARI.NS,227.7,1700108.4017595309,12.9,898817
BLUEJET.NS,796.0,1697662.3709514171,40.59,1652910
PREMIERENE.NS,1058.85,1651270.8373390557,41.46,1855987
544431.NS,121.0,1626334.501752629,53.95,602000
GLOBECIVIL.NS,83.98,1611498.0521978023,23.06,1526241
IRCON.NS,175.15,1566307.8755818876,12.1,3058831
MAZDOCK.NS,2703.85,1561440.4599180808,43.17,1854414
HEXT.NS,736.6,1541520.8470588233,29.52,1819851
KPITTECH.NS,1195.5,1522150.4091931053,40.88,1490501
SHAKTIPUMP.NS,864.25,1520102.4863468634,55.31,744798
OIL.NS,432.4,1393047.6005110731,12.97,1260939
BLS.NS,359.0,1389163.125,32.9,1270092
539607.NS,32.8,1383121.0189018904,36.93,1248292
GPPL.NS,155.75,1365734.2857142857,24.88,1091270
WAAREEENER.NS,3251.7,1364242.7224157955,35.12,1672285
TRANSRAILL.NS,677.5,1359849.6714038127,30.58,1282919
531889.NS,20.8,1353681.4545454544,30.48,425024
ARKADE.NS,194.0,1344624.2880794702,30.6,1061638
WAAREERTL.NS,1058.9,1290248.5214267385,84.91,592168
MOTILALOFS.NS,885.0,1284251.2238285146,18.67,1379865
NESTLEIND.NS,2236.35,1281589.9422044859,95.66,973585
WELSPUNLIV.NS,133.2,1256550.5800376649,14.44,1848278
UDS.NS,283.4,1252057.6733800352,23.53,607671
TANLA.NS,619.0,1247894.140032949,29.19,778491
SUNPHARMA.NS,1708.5,1242095.3935852135,20.21,2261093
NAM-INDIA.NS,798.2,1229397.276452282,40.69,1165042
BSOFT.NS,388.5,1226224.3935309972,20.95,1302900
IGIL.NS,393.05,1199807.2459499263,68.01,718720
544452.NS,65.1,1196681.32896584,25.22,1014000
ZYDUSLIFE.NS,983.2,1196431.3668161435,24.31,1097508
DENTA.NS,317.2,1194113.4117647058,25.04,810700
544436.NS,43.5,1191661.1464968151,46.54,160800
SKYGOLD.NS,301.8,1186938.0852503383,23.4,1499397
AWL.NS,264.8,1172972.1513879923,20.89,1739525
MPHASIS.NS,2738.95,1167805.2684108526,22.71,1592041
AFCONS.NS,396.05,1149667.2540663632,19.59,1804021
DOLATALGO.NS,89.1,1148595.284159613,35.48,267725
VINCOFE.NS,151.3,1112188.0141271444,15.48,2848006
ANTHEM.NS,749.65,1093393.932944953,30.73,2992690
APLAPOLLO.NS,1515.45,1087678.4304932735,22.8,2553182
AVANTEL.NS,129.95,1076955.8387434557,37.06,1942647
DABUR.NS,520.2,1065381.134218289,20.24,2855053
LT.NS,3429.25,1059746.979375,14.49,2340366
SHANKARA.NS,1083.2,1018093.1351724139,16.76,1761617
PROSTARM.NS,220.25,1010011.815777369,29.75,1476145
MANGCHEFER.NS,345.4,1005483.9586494688,14.93,1775255
TITAGARH.NS,847.85,1004191.8570084665,16.56,2578396
SMARTEN.NS,134.15,993162.0229007633,41.01,507600
STALLION.NS,114.59,984469.0405498282,19.96,1435273
GEOJITFSL.NS,71.4,973105.2244897959,18.84,733961
GANESHIN.NS,202.0,952530.9734513274,37.9,511200
ARVSMART.NS,617.9,947444.2756539235,19.05,1235905
JAMNAAUTO.NS,91.22,928163.537735849,23.5,837322
543620.NS,220.5,925235.7265376133,56.61,667000
MONARCH.NS,360.4,918554.2992813141,33.27,537825
KAMDHENU.NS,29.05,915693.1747572816,28.91,456738
RVNL.NS,354.5,905048.0415814589,14.71,3610348
SDBL.NS,152.45,905035.5123321885,18.02,1608673
PARACABLES.NS,56.2,896752.6362759287,16.51,1125965
ANGELONE.NS,2589.8,875273.1247460382,25.8,834902
AVANTIFEED.NS,691.5,869981.2591463415,23.99,713682
AIIL.NS,2668.85,866198.132780083,31.25,334006
AVPINFRA.NS,209.9,856383.8479809976,26.24,549600
RITES.NS,259.55,838143.4603412153,20.81,1345621
ARIHANTCAP.NS,99.98,831449.6169039963,20.82,869388
MANORAMA.NS,1661.7,823975.5160142349,23.04,2411845
AEROFLEX.NS,190.2,817606.0999057493,22.34,1941540
20MICRONS.NS,240.8,815099.4254445964,19.16,621960
KFINTECH.NS,1137.7,794795.5148345052,34.21,1354707
RAILTEL.NS,381.9,794583.488973384,21.84,1435271
OBEROIRLTY.NS,1625.8,791016.238705327,17.73,1323268
BALAXI.NS,48.84,779813.5748299321,12.49,734236
COFORGE.NS,1713.8,768751.7920185461,20.66,2247092
HINDMOTORS.NS,23.21,765348.9345794392,56.72,433140
GPIL.NS,188.55,761666.0277945619,23.29,541244
MOTISONS.NS,20.49,751212.719044626,14.52,2469379
WELCORP.NS,863.85,739105.9425113465,21.24,690041
EVEREADY.NS,412.55,736068.9181380417,16.98,1620392
TDPOWERSYS.NS,462.95,727674.3480311248,30.35,1016826
HAL.NS,4481.4,721158.1659886086,33.87,785034
TEXRAIL.NS,149.0,718117.1263537906,13.88,1289817
CGPOWER.NS,654.1,717796.4047139982,37.48,1998837
VIJAYA.NS,1126.25,717783.5499485066,21.68,2571837
BAJAJCON.NS,229.3,707739.313389274,19.06,1017793
MGL.NS,1398.8,698703.7090909091,24.48,392450
